Country Name,Country Code,Indicator Name,Indicator Code,Date,US GDP growth (annual %),TR GDP growth (annual %)
Turkey,TUR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,2.523819814,4.939715161
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,2.945550455,6.084486904
,,,,2016,1.819451475,3.323084208
,,,,2017,2.457622304,7.501997489
,,,,2018,2.966505071,3.013179908
,,,,2019,2.467037563,0.818525936
,,,,2020,-2.213469333,1.85983969
,,,,2021,5.800206128,11.43938474
,,,,2022,1.935495895,5.533469266
,,,,2023,2.542700299,4.516866508
